date,temperature_2m_mean,missing
2024-01-12T23:00:00,4.020833,False
2024-01-13T23:00:00,3.0687501,False
2024-01-14T23:00:00,2.2020833,False
2024-01-15T23:00:00,1.0395833,False
2024-01-16T23:00:00,-1.1354167,False
2024-01-17T23:00:00,-1.5124999,False
2024-01-18T23:00:00,1.7916669,False
2024-01-19T23:00:00,1.1270834,False
2024-01-20T23:00:00,3.7312505,False
2024-01-21T23:00:00,8.947918,False
2024-01-22T23:00:00,7.685417,False
2024-01-23T23:00:00,9.683333,False
2024-01-24T23:00:00,6.754166,False
2024-01-25T23:00:00,8.160418,False
2024-01-26T23:00:00,4.320833,False
2024-01-27T23:00:00,4.0312495,False
2024-01-28T23:00:00,6.4583335,False
2024-01-29T23:00:00,7.964583,False
2024-01-30T23:00:00,6.1458325,False
2024-01-31T23:00:00,6.635416,False
2024-02-01T23:00:00,8.05,False
2024-02-02T23:00:00,9.708334,False
2024-02-03T23:00:00,9.558334,False
2024-02-04T23:00:00,9.110417,False
2024-02-05T23:00:00,9.85625,False
2024-02-06T23:00:00,4.816667,False
2024-02-07T23:00:00,1.85,False
2024-02-08T23:00:00,9.664584,False
2024-02-09T23:00:00,9.556251,False
2024-02-10T23:00:00,8.208334,False
2024-02-11T23:00:00,6.056251,False
2024-02-12T23:00:00,6.2500005,False
2024-02-13T23:00:00,10.264583,False
2024-02-14T23:00:00,12.583333,False
2024-02-15T23:00:00,10.427083,False
2024-02-16T23:00:00,8.95625,False
2024-02-17T23:00:00,9.299999,False
2024-02-18T23:00:00,8.179166,False
2024-02-19T23:00:00,8.247917,False
2024-02-20T23:00:00,9.239584,False
2024-02-21T23:00:00,9.935417,False
2024-02-22T23:00:00,5.4020844,False
2024-02-23T23:00:00,4.1791663,False
2024-02-24T23:00:00,5.5395837,False
2024-02-25T23:00:00,4.9375,False
2024-02-26T23:00:00,4.2520833,False
2024-02-27T23:00:00,6.8125,False
2024-02-28T23:00:00,8.10625,False
2024-02-29T23:00:00,7.608334,False
2024-03-01T23:00:00,8.302083,False
2024-03-02T23:00:00,9.781249,False
2024-03-03T23:00:00,6.758332,False
2024-03-04T23:00:00,5.4,False
2024-03-05T23:00:00,6.375,False
2024-03-06T23:00:00,5.3916664,False
2024-03-07T23:00:00,5.0,False
2024-03-08T23:00:00,7.5083337,False
2024-03-09T23:00:00,8.547915,False
2024-03-10T23:00:00,7.2916665,False
2024-03-11T23:00:00,8.48125,False
2024-03-12T23:00:00,10.627083,False
2024-03-13T23:00:00,12.210416,False
2024-03-14T23:00:00,11.893749,False
2024-03-15T23:00:00,7.720833,False
2024-03-16T23:00:00,8.95,False
2024-03-17T23:00:00,10.4,False
2024-03-18T23:00:00,10.437501,False
2024-03-19T23:00:00,10.212499,False
2024-03-20T23:00:00,8.745832,False
2024-03-21T23:00:00,9.279166,False
2024-03-22T23:00:00,6.222917,False
2024-03-23T23:00:00,6.616667,False
2024-03-24T23:00:00,7.1958327,False
2024-03-25T23:00:00,8.8375,False
2024-03-26T23:00:00,9.775,False
2024-03-27T23:00:00,8.025001,False
2024-03-28T23:00:00,10.500001,False
2024-03-29T23:00:00,8.658334,False
2024-03-30T23:00:00,9.439585,False
2024-03-31T23:00:00,9.247917,False
2024-04-01T23:00:00,9.395835,False
2024-04-02T23:00:00,10.558333,False
2024-04-03T23:00:00,10.985417,False
2024-04-04T23:00:00,12.966668,False
2024-04-05T23:00:00,17.102083,False
2024-04-06T23:00:00,14.952081,False
2024-04-07T23:00:00,13.872918,False
2024-04-08T23:00:00,11.366666,False
2024-04-09T23:00:00,10.587499,False
2024-04-10T23:00:00,12.979168,False
2024-04-11T23:00:00,14.047916,False
2024-04-12T23:00:00,15.099999,False
2024-04-13T23:00:00,10.558334,False
2024-04-14T23:00:00,8.070834,False
2024-04-15T23:00:00,7.7437496,False
2024-04-16T23:00:00,6.0645843,False
2024-04-17T23:00:00,6.9625,False
2024-04-18T23:00:00,8.193749,False
2024-04-19T23:00:00,6.8458333,False
2024-04-20T23:00:00,6.2687497,False
2024-04-21T23:00:00,5.266666,False
2024-04-22T23:00:00,5.1875,False
2024-04-23T23:00:00,6.2812505,False
2024-04-24T23:00:00,5.941667,False
2024-04-25T23:00:00,7.09375,False
2024-04-26T23:00:00,10.01875,False
2024-04-27T23:00:00,12.229167,False
2024-04-28T23:00:00,11.610417,False
2024-04-29T23:00:00,15.443749,False
2024-04-30T23:00:00,18.208334,False
2024-05-01T23:00:00,17.022917,False
2024-05-02T23:00:00,11.664584,False
2024-05-03T23:00:00,11.445834,False
2024-05-04T23:00:00,12.304168,False
2024-05-05T23:00:00,13.654167,False
2024-05-06T23:00:00,13.283333,False
2024-05-07T23:00:00,12.2145815,False
2024-05-08T23:00:00,11.591666,False
2024-05-09T23:00:00,13.775002,False
2024-05-10T23:00:00,15.158334,False
2024-05-11T23:00:00,18.177082,False
2024-05-12T23:00:00,18.81875,False
2024-05-13T23:00:00,19.550001,False
2024-05-14T23:00:00,15.818751,False
2024-05-15T23:00:00,15.402083,False
2024-05-16T23:00:00,15.237498,False
2024-05-17T23:00:00,17.152084,False
2024-05-18T23:00:00,16.308336,False
2024-05-19T23:00:00,15.443749,False
2024-05-20T23:00:00,17.358332,False
2024-05-21T23:00:00,15.658333,False
2024-05-22T23:00:00,14.950001,False
2024-05-23T23:00:00,14.8479185,False
2024-05-24T23:00:00,14.897916,False
2024-05-25T23:00:00,15.241666,False
2024-05-26T23:00:00,14.000001,False
2024-05-27T23:00:00,13.972917,False
2024-05-28T23:00:00,14.727082,False
2024-05-29T23:00:00,13.658333,False
2024-05-30T23:00:00,15.170835,False
2024-05-31T23:00:00,15.308334,False
2024-06-01T23:00:00,13.858335,False
2024-06-02T23:00:00,13.447917,False
2024-06-03T23:00:00,15.324998,False
2024-06-04T23:00:00,12.560416,False
2024-06-05T23:00:00,12.489582,False
2024-06-06T23:00:00,13.070834,False
2024-06-07T23:00:00,13.147915,False
2024-06-08T23:00:00,12.410415,False
2024-06-09T23:00:00,11.154166,False
2024-06-10T23:00:00,11.712499,False
2024-06-11T23:00:00,11.0583315,False
2024-06-12T23:00:00,13.245833,False
2024-06-13T23:00:00,14.716666,False
2024-06-14T23:00:00,13.693749,False
2024-06-15T23:00:00,14.095833,False
2024-06-16T23:00:00,15.125,False
2024-06-17T23:00:00,15.245833,False
2024-06-18T23:00:00,14.814583,False
2024-06-19T23:00:00,14.652083,False
2024-06-20T23:00:00,15.497916,False
2024-06-21T23:00:00,15.879166,False
2024-06-22T23:00:00,17.349998,False
2024-06-23T23:00:00,18.602083,False
2024-06-24T23:00:00,21.141666,False
2024-06-25T23:00:00,22.870832,False
2024-06-26T23:00:00,21.22083,False
2024-06-27T23:00:00,16.566668,False
2024-06-28T23:00:00,17.86875,False
2024-06-29T23:00:00,16.733332,False
2024-06-30T23:00:00,15.014584,False
2024-07-01T23:00:00,14.575001,False
2024-07-02T23:00:00,13.272915,False
2024-07-03T23:00:00,15.247918,False
2024-07-04T23:00:00,15.672917,False
2024-07-05T23:00:00,15.787501,False
2024-07-06T23:00:00,13.635418,False
2024-07-07T23:00:00,15.602081,False
2024-07-08T23:00:00,19.889582,False
2024-07-09T23:00:00,18.027084,False
2024-07-10T23:00:00,16.558332,False
2024-07-11T23:00:00,14.5041685,False
2024-07-12T23:00:00,14.516666,False
2024-07-13T23:00:00,15.872914,False
2024-07-14T23:00:00,18.38125,False
2024-07-15T23:00:00,17.635414,False
2024-07-16T23:00:00,17.041666,False
2024-07-17T23:00:00,18.585417,False
2024-07-18T23:00:00,22.387503,False
2024-07-19T23:00:00,22.739584,False
2024-07-20T23:00:00,19.370832,False
2024-07-21T23:00:00,17.991665,False
2024-07-22T23:00:00,18.464582,False
2024-07-23T23:00:00,17.010416,False
2024-07-24T23:00:00,18.141668,False
2024-07-25T23:00:00,18.156252,False
2024-07-26T23:00:00,17.358335,False
2024-07-27T23:00:00,17.79375,False
2024-07-28T23:00:00,19.179167,False
2024-07-29T23:00:00,21.927084,False
2024-07-30T23:00:00,20.641665,False
2024-07-31T23:00:00,19.302084,False
2024-08-01T23:00:00,19.195833,False
2024-08-02T23:00:00,19.889582,False
2024-08-03T23:00:00,16.952082,False
2024-08-04T23:00:00,18.379166,False
2024-08-05T23:00:00,20.6625,False
2024-08-06T23:00:00,19.025,False
2024-08-07T23:00:00,19.695835,False
2024-08-08T23:00:00,19.689585,False
2024-08-09T23:00:00,18.822916,False
2024-08-10T23:00:00,20.674997,False
2024-08-11T23:00:00,22.920835,False
2024-08-12T23:00:00,22.856249,False
2024-08-13T23:00:00,20.166668,False
2024-08-14T23:00:00,20.091667,False
2024-08-15T23:00:00,19.889585,False
2024-08-16T23:00:00,18.277082,False
2024-08-17T23:00:00,17.36875,False
2024-08-18T23:00:00,17.945833,False
2024-08-19T23:00:00,18.225,False
2024-08-20T23:00:00,16.408335,False
2024-08-21T23:00:00,18.247917,False
2024-08-22T23:00:00,19.366665,False
2024-08-23T23:00:00,18.472916,False
2024-08-24T23:00:00,16.406252,False
2024-08-25T23:00:00,16.80625,False
2024-08-26T23:00:00,17.797916,False
2024-08-27T23:00:00,20.058332,False
2024-08-28T23:00:00,19.0375,False
2024-08-29T23:00:00,16.83125,False
2024-08-30T23:00:00,17.943752,False
2024-08-31T23:00:00,21.225,False
2024-09-01T23:00:00,21.879166,False
2024-09-02T23:00:00,19.366665,False
2024-09-03T23:00:00,17.887503,False
2024-09-04T23:00:00,21.458334,False
2024-09-05T23:00:00,21.708334,False
2024-09-06T23:00:00,20.18542,False
2024-09-07T23:00:00,18.968752,False
2024-09-08T23:00:00,16.28333,False
2024-09-09T23:00:00,15.312501,False
2024-09-10T23:00:00,11.075001,False
2024-09-11T23:00:00,10.185416,False
2024-09-12T23:00:00,11.564584,False
2024-09-13T23:00:00,12.187499,False
2024-09-14T23:00:00,13.564583,False
2024-09-15T23:00:00,14.881248,False
2024-09-16T23:00:00,15.566667,False
2024-09-17T23:00:00,16.791666,False
